val_ids,dumbpredwtags,val_gt_size,dumbprednotags,dumbpredselect,dumbpredselect2,dumbprednotags2,proposal_size,dumbpredselect_epc100
Case08_7.nii,"[140225, 8000]","[136255.0, 11970.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144896,2560]","[140225, 8000]"
Case08_8.nii,"[140225, 8000]","[135761.0, 12464.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147250,206]","[140225, 8000]"
Case08_9.nii,"[140225, 8000]","[136098.0, 12127.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146543,913]","[140225, 8000]"
Case09_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146864,592]","[140225, 8000]"
Case09_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[145775,1681]","[0, 0]"
Case09_10.nii,"[140225, 8000]","[141711.0, 6514.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[143899,3557]","[140225, 8000]"
Case09_11.nii,"[140225, 8000]","[141987.0, 6238.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144339,3117]","[140225, 8000]"
Case09_12.nii,"[140225, 8000]","[143343.0, 4882.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141841,5615]","[140225, 8000]"
Case09_13.nii,"[140225, 8000]","[143994.0, 4231.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144820,2636]","[140225, 8000]"
Case09_14.nii,"[140225, 8000]","[147037.0, 1188.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147051,405]","[0, 0]"
Case09_15.nii,"[140225, 8000]","[147741.0, 484.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[144781,2675]","[148225, 0]"
Case09_16.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[141369,6087]","[148225, 0]"
Case09_17.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147256,200]","[148225, 0]"
Case09_18.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[141876,5580]","[148225, 0]"
Case09_19.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[147456,0]","[148225, 0]"
Case09_2.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[145415,2041]","[0, 0]"
Case09_3.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140882,6574]","[140225, 8000]"
Case09_4.nii,"[140225, 8000]","[146343.0, 1882.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146969,487]","[140225, 8000]"
Case09_5.nii,"[140225, 8000]","[145568.0, 2657.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146810,646]","[0, 0]"
Case09_6.nii,"[140225, 8000]","[144556.0, 3669.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[139522,7934]","[140225, 8000]"
Case09_7.nii,"[140225, 8000]","[143660.0, 4565.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[129276,18180]","[140225, 8000]"
Case09_8.nii,"[140225, 8000]","[142545.0, 5680.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145559,1897]","[140225, 8000]"
Case09_9.nii,"[140225, 8000]","[141745.0, 6480.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147436,20]","[140225, 8000]"
Case10_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147456,0]","[0, 0]"
Case10_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146749,707]","[140225, 8000]"
Case10_10.nii,"[140225, 8000]","[142235.0, 5990.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141028,6428]","[140225, 8000]"
Case10_11.nii,"[140225, 8000]","[141964.0, 6261.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[137241,10215]","[140225, 8000]"
Case10_12.nii,"[140225, 8000]","[142328.0, 5897.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[142931,4525]","[140225, 8000]"
Case10_13.nii,"[140225, 8000]","[143271.0, 4954.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[139527,7929]","[140225, 8000]"
Case10_14.nii,"[140225, 8000]","[145067.0, 3158.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[140853,6603]","[140225, 8000]"
Case10_15.nii,"[140225, 8000]","[146058.0, 2167.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[145156,2300]","[0, 0]"
Case10_16.nii,"[140225, 8000]","[147767.0, 458.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147456,0]","[0, 0]"
Case10_17.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[140140,7316]","[148225, 0]"
Case10_18.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[136160,11296]","[148225, 0]"
Case10_19.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[144314,3142]","[148225, 0]"
Case10_2.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147194,262]","[0, 0]"
Case10_3.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147456,0]","[0, 0]"
Case10_4.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146086,1370]","[0, 0]"
Case10_5.nii,"[140225, 8000]","[147268.0, 957.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[145960,1496]","[0, 0]"
Case10_6.nii,"[140225, 8000]","[146143.0, 2082.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[141860,5596]","[0, 0]"
Case10_7.nii,"[140225, 8000]","[144526.0, 3699.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147032,424]","[140225, 8000]"
Case10_8.nii,"[140225, 8000]","[143465.0, 4760.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146439,1017]","[140225, 8000]"
Case10_9.nii,"[140225, 8000]","[142894.0, 5331.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146894,562]","[140225, 8000]"
Case11_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[134458,12998]","[148225, 0]"
Case11_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[146070,1386]","[148225, 0]"
Case11_10.nii,"[140225, 8000]","[140880.0, 7345.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case11_11.nii,"[140225, 8000]","[139883.0, 8342.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145313,2143]","[140225, 8000]"
Case11_12.nii,"[140225, 8000]","[139925.0, 8300.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145685,1771]","[140225, 8000]"
Case11_13.nii,"[140225, 8000]","[140159.0, 8066.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147443,13]","[140225, 8000]"
Case11_14.nii,"[140225, 8000]","[143073.0, 5152.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[142785,4671]","[140225, 8000]"
Case11_15.nii,"[140225, 8000]","[144629.0, 3596.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141376,6080]","[140225, 8000]"
Case11_16.nii,"[140225, 8000]","[146693.0, 1532.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140359,7097]","[140225, 8000]"
Case11_17.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146833,623]","[0, 0]"
Case11_18.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147014,442]","[0, 0]"
Case11_19.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[139558,7898]","[148225, 0]"
Case11_2.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146569,887]","[148225, 0]"
Case11_3.nii,"[140225, 8000]","[147037.0, 1188.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[145277,2179]","[148225, 0]"
Case11_4.nii,"[140225, 8000]","[146409.0, 1816.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[142084,5372]","[0, 0]"
Case11_5.nii,"[140225, 8000]","[145233.0, 2992.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[140615,6841]","[0, 0]"
Case11_6.nii,"[140225, 8000]","[144417.0, 3808.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[142161,5295]","[0, 0]"
Case11_7.nii,"[140225, 8000]","[143132.0, 5093.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147443,13]","[140225, 8000]"
Case11_8.nii,"[140225, 8000]","[142459.0, 5766.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147425,31]","[140225, 8000]"
Case11_9.nii,"[140225, 8000]","[141386.0, 6839.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145831,1625]","[140225, 8000]"
Case12_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147443,13]","[140225, 8000]"
Case12_1.nii,"[140225, 8000]","[146805.0, 1420.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140716,6740]","[140225, 8000]"
Case12_10.nii,"[140225, 8000]","[137336.0, 10889.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[143239,4217]","[140225, 8000]"
Case12_11.nii,"[140225, 8000]","[136984.0, 11241.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145367,2089]","[140225, 8000]"
Case12_12.nii,"[140225, 8000]","[140722.0, 7503.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case12_13.nii,"[140225, 8000]","[142767.0, 5458.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145303,2153]","[140225, 8000]"
Case12_14.nii,"[140225, 8000]","[144997.0, 3228.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147347,109]","[0, 0]"
Case12_2.nii,"[140225, 8000]","[145909.0, 2316.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146419,1037]","[140225, 8000]"
Case12_3.nii,"[140225, 8000]","[143552.0, 4673.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[138327,9129]","[0, 0]"
Case12_4.nii,"[140225, 8000]","[140377.0, 7848.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144499,2957]","[140225, 8000]"
Case12_5.nii,"[140225, 8000]","[138671.0, 9554.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146716,740]","[140225, 8000]"
Case12_6.nii,"[140225, 8000]","[137384.0, 10841.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140957,6499]","[140225, 8000]"
Case12_7.nii,"[140225, 8000]","[136405.0, 11820.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145632,1824]","[140225, 8000]"
Case12_8.nii,"[140225, 8000]","[135452.0, 12773.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case12_9.nii,"[140225, 8000]","[135981.0, 12244.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146032,1424]","[140225, 8000]"
Case13_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[139586,7870]","[148225, 0]"
Case13_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[130424,17032]","[148225, 0]"
Case13_10.nii,"[140225, 8000]","[143463.0, 4762.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145181,2275]","[140225, 8000]"
Case13_11.nii,"[140225, 8000]","[142957.0, 5268.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147453,3]","[140225, 8000]"
Case13_12.nii,"[140225, 8000]","[144496.0, 3729.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141132,6324]","[140225, 8000]"
Case13_13.nii,"[140225, 8000]","[144428.0, 3797.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146682,774]","[140225, 8000]"
Case13_14.nii,"[140225, 8000]","[146525.0, 1700.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[145899,1557]","[140225, 8000]"
Case13_15.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146672,784]","[0, 0]"
Case13_16.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[139572,7884]","[0, 0]"
Case13_17.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[139791,7665]","[148225, 0]"
Case13_18.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[143785,3671]","[0, 0]"
Case13_19.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[141460,5996]","[148225, 0]"
Case13_2.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[142543,4913]","[148225, 0]"
Case13_3.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[146410,1046]","[148225, 0]"
Case13_4.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[144942,2514]","[148225, 0]"
Case13_5.nii,"[140225, 8000]","[147123.0, 1102.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[147121,335]","[148225, 0]"
Case13_6.nii,"[140225, 8000]","[146762.0, 1463.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[146230,1226]","[148225, 0]"
Case13_7.nii,"[140225, 8000]","[146231.0, 1994.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[141913,5543]","[0, 0]"
Case13_8.nii,"[140225, 8000]","[145448.0, 2777.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[144730,2726]","[0, 0]"
Case13_9.nii,"[140225, 8000]","[144593.0, 3632.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147437,19]","[140225, 8000]"
Case14_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140385,7071]","[140225, 8000]"
Case14_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145503,1953]","[140225, 8000]"
Case14_10.nii,"[140225, 8000]","[142279.0, 5946.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141600,5856]","[140225, 8000]"
Case14_11.nii,"[140225, 8000]","[142080.0, 6145.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146707,749]","[140225, 8000]"
Case14_12.nii,"[140225, 8000]","[142275.0, 5950.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[139208,8248]","[140225, 8000]"
Case14_13.nii,"[140225, 8000]","[142716.0, 5509.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[142205,5251]","[140225, 8000]"
Case14_14.nii,"[140225, 8000]","[143491.0, 4734.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case14_15.nii,"[140225, 8000]","[144726.0, 3499.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[143472,3984]","[0, 0]"
Case14_16.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146840,616]","[140225, 8000]"
Case14_17.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[145554,1902]","[148225, 0]"
Case14_18.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[131047,16409]","[0, 0]"
Case14_19.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146890,566]","[0, 0]"
Case14_2.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[142051,5405]","[140225, 8000]"
Case14_3.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[142741,4715]","[140225, 8000]"
Case14_4.nii,"[140225, 8000]","[146687.0, 1538.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[139956,7500]","[140225, 8000]"
Case14_5.nii,"[140225, 8000]","[146541.0, 1684.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145911,1545]","[140225, 8000]"
Case14_6.nii,"[140225, 8000]","[146139.0, 2086.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[144031,3425]","[140225, 8000]"
Case14_7.nii,"[140225, 8000]","[144891.0, 3334.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[144992,2464]","[140225, 8000]"
Case14_8.nii,"[140225, 8000]","[143691.0, 4534.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144969,2487]","[140225, 8000]"
Case14_9.nii,"[140225, 8000]","[142958.0, 5267.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[143721,3735]","[140225, 8000]"
Case15_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147442,14]","[140225, 8000]"
Case15_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144315,3141]","[140225, 8000]"
Case15_10.nii,"[140225, 8000]","[140264.0, 7961.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140137,7319]","[140225, 8000]"
Case15_11.nii,"[140225, 8000]","[140247.0, 7978.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case15_12.nii,"[140225, 8000]","[140569.0, 7656.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145723,1733]","[140225, 8000]"
Case15_13.nii,"[140225, 8000]","[142834.0, 5391.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147286,170]","[140225, 8000]"
Case15_14.nii,"[140225, 8000]","[144597.0, 3628.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[144945,2511]","[0, 0]"
Case15_15.nii,"[140225, 8000]","[147813.0, 412.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[143764,3692]","[0, 0]"
Case15_16.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[146886,570]","[148225, 0]"
Case15_17.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[143709,3747]","[0, 0]"
Case15_18.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[143419,4037]","[148225, 0]"
Case15_19.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[147167,289]","[0, 0]"
Case15_2.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[142676,4780]","[0, 0]"
Case15_3.nii,"[140225, 8000]","[147338.0, 887.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146398,1058]","[140225, 8000]"
Case15_4.nii,"[140225, 8000]","[146703.0, 1522.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[145015,2441]","[0, 0]"
Case15_5.nii,"[140225, 8000]","[145497.0, 2728.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[141082,6374]","[0, 0]"
Case15_6.nii,"[140225, 8000]","[144050.0, 4175.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[142793,4663]","[140225, 8000]"
Case15_7.nii,"[140225, 8000]","[143167.0, 5058.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[137620,9836]","[140225, 8000]"
Case15_8.nii,"[140225, 8000]","[142042.0, 6183.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141988,5468]","[140225, 8000]"
Case15_9.nii,"[140225, 8000]","[141095.0, 7130.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145313,2143]","[140225, 8000]"
Case16_0.nii,"[140225, 8000]","[141606.0, 6619.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[130937,16519]","[0, 0]"
Case16_1.nii,"[140225, 8000]","[138737.0, 9488.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[144779,2677]","[0, 0]"
Case16_10.nii,"[140225, 8000]","[128120.0, 20105.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141041,6415]","[140225, 8000]"
Case16_11.nii,"[140225, 8000]","[127035.0, 21190.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144325,3131]","[140225, 8000]"
Case16_12.nii,"[140225, 8000]","[126971.0, 21254.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147455,1]","[140225, 8000]"
Case16_13.nii,"[140225, 8000]","[129396.0, 18829.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141584,5872]","[140225, 8000]"
Case16_14.nii,"[140225, 8000]","[129711.0, 18514.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145272,2184]","[140225, 8000]"
Case16_15.nii,"[140225, 8000]","[130404.0, 17821.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144541,2915]","[140225, 8000]"
Case16_16.nii,"[140225, 8000]","[130862.0, 17363.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[144491,2965]","[140225, 8000]"
Case16_17.nii,"[140225, 8000]","[132060.0, 16165.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case16_18.nii,"[140225, 8000]","[135385.0, 12840.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[143443,4013]","[140225, 8000]"
Case16_19.nii,"[140225, 8000]","[139298.0, 8927.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case16_2.nii,"[140225, 8000]","[135793.0, 12432.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145240,2216]","[140225, 8000]"
Case16_3.nii,"[140225, 8000]","[135327.0, 12898.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[143934,3522]","[140225, 8000]"
Case16_4.nii,"[140225, 8000]","[133541.0, 14684.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case16_5.nii,"[140225, 8000]","[132209.0, 16016.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[139867,7589]","[140225, 8000]"
Case16_6.nii,"[140225, 8000]","[130679.0, 17546.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[139762,7694]","[140225, 8000]"
Case16_7.nii,"[140225, 8000]","[129703.0, 18522.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[139968,7488]","[140225, 8000]"
Case16_8.nii,"[140225, 8000]","[128784.0, 19441.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147157,299]","[140225, 8000]"
Case16_9.nii,"[140225, 8000]","[128423.0, 19802.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141989,5467]","[140225, 8000]"
Case17_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[138456,9000]","[140225, 8000]"
Case17_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146213,1243]","[0, 0]"
Case17_10.nii,"[140225, 8000]","[142984.0, 5241.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[145896,1560]","[140225, 8000]"
Case17_11.nii,"[140225, 8000]","[143106.0, 5119.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[146677,779]","[140225, 8000]"
Case17_12.nii,"[140225, 8000]","[143545.0, 4680.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147456,0]","[140225, 8000]"
Case17_13.nii,"[140225, 8000]","[144014.0, 4211.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[144963,2493]","[140225, 8000]"
Case17_14.nii,"[140225, 8000]","[145408.0, 2817.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146402,1054]","[140225, 8000]"
Case17_15.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[138100,9356]","[0, 0]"
Case17_16.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[145411,2045]","[0, 0]"
Case17_17.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[139906,7550]","[0, 0]"
